Herkunftsland;WS 2025;WS 2024;Diff (abs);Diff (%)
Indien;7494;7523;-29;-0.39
Pakistan;3174;3566;-392;-10.99
Türkei;2178;1823;355;19.47
Iran (Islamische Republik);1678;1728;-50;-2.89
China;1598;1576;22;1.4
Deutschland;1441;1421;20;1.41
Ghana;908;656;252;38.41
Bangladesch;836;1450;-614;-42.34
Ägypten;749;642;107;16.67
Ukraine;585;548;37;6.75
Nigeria;569;551;18;3.27
Russland;455;567;-112;-19.75
Nepal;423;281;142;50.53
USA;385;330;55;16.67
Staatenlos;356;300;56;18.67
Syrien;352;311;41;13.18
Vietnam;333;308;25;8.12
Sri Lanka;322;229;93;40.61
Südkorea;302;298;4;1.34
Aserbaidschan;276;267;9;3.37
Italien;264;171;93;54.39
Marokko;262;291;-29;-9.97
Indonesien;232;194;38;19.59
Kamerun;213;148;65;43.92
Mexiko;212;197;15;7.61
Taiwan (Republik China);209;169;40;23.67
Spanien;208;98;110;112.24
Afghanistan;189;186;3;1.61
Kolumbien;163;204;-41;-20.1
Österreich;157;117;40;34.19
Brasilien;137;127;10;7.87
Tunesien;124;155;-31;-20.0
Kenia;121;125;-4;-3.2
Kasachstan;108;84;24;28.57
Jemen;102;64;38;59.38
Libanon;101;126;-25;-19.84
Usbekistan;101;123;-22;-17.89
Uganda;100;59;41;69.49
Irak;93;107;-14;-13.08
Griechenland;88;67;21;31.34
Rumänien;85;56;29;51.79
Polen;82;64;18;28.12
Japan;81;75;6;8.0
Peru;81;81;0;0.0
Jordanien;80;120;-40;-33.33
Georgien;78;78;0;0.0
Ecuador;75;95;-20;-21.05
Albanien;70;87;-17;-19.54
Vereinigtes Königreich;68;49;19;38.78
Portugal;66;38;28;73.68
Malaysien;65;80;-15;-18.75
Kanada;63;68;-5;-7.35
Thailand;63;59;4;6.78
Algerien;62;77;-15;-19.48
Birma (Myanmar);62;56;6;10.71
Bulgarien;58;58;0;0.0
Philippinen;53;64;-11;-17.19
Simbabwe;53;41;12;29.27
Ungarn;51;36;15;41.67
Sudan;50;42;8;19.05
Israel;48;32;16;50.0
Chile;47;43;4;9.3
Niederlande;46;26;20;76.92
Belarus;45;29;16;55.17
Armenien;44;32;12;37.5
Äthiopien;43;64;-21;-32.81
Mongolei;42;27;15;55.56
Frankreich;40;40;0;0.0
Mauritius;40;46;-6;-13.04
Schweiz;40;37;3;8.11
Ruanda;38;38;0;0.0
Australien;37;24;13;54.17
Südafrika;37;35;2;5.71
Irland;34;23;11;47.83
Palästinensische Autonomiegebiete;33;42;-9;-21.43
Singapur;32;28;4;14.29
Hongkong;27;35;-8;-22.86
Kirgisistan;24;26;-2;-7.69
Kosovo;24;35;-11;-31.43
Serbien;23;25;-2;-8.0
Tansania;23;20;3;15.0
Tschechien;22;20;2;10.0
Bolivien;21;13;8;61.54
Kroatien;20;20;0;0.0
Argentinien;19;15;4;26.67
Slowakei (Slowakische Republik);18;9;9;100.0
Costa Rica;17;18;-1;-5.56
Bosnien und Herzegowina;16;26;-10;-38.46
Belgien;15;11;4;36.36
Libyen;15;17;-2;-11.76
Litauen;15;16;-1;-6.25
El Salvador;14;5;9;180.0
Gambia;14;15;-1;-6.67
Lettland;14;11;3;27.27
Luxemburg;14;21;-7;-33.33
Norwegen;14;7;7;100.0
Schweden;14;6;8;133.33
Tadschikistan;14;8;6;75.0
Estland;13;2;11;550.0
Venezuela;13;18;-5;-27.78
Demokratische Republik Kongo;12;9;3;33.33
Nordmazedonien;12;7;5;71.43
Zypern;12;8;4;50.0
Dänemark;11;13;-2;-15.38
Sierra Leone;11;5;6;120.0
Turkmenistan;11;9;2;22.22
Eritrea;10;13;-3;-23.08
Finnland;10;6;4;66.67
Namibia;10;6;4;66.67
Somalia;10;15;-5;-33.33
Togo;10;11;-1;-9.09
Benin;9;6;3;50.0
Guatemala;9;9;0;0.0
Madagaskar;9;5;4;80.0
Südsudan;9;3;6;200.0
Cote d Ivoire;8;11;-3;-27.27
Jamaika;8;4;4;100.0
Kambodscha;8;3;5;166.67
Mauretanien;8;6;2;33.33
Sambia;8;3;5;166.67
Honduras;7;16;-9;-56.25
Mosambik;7;5;2;40.0
Neuseeland;7;12;-5;-41.67
Alandinseln;6;9;-3;-33.33
Kongo (Republik Kongo);6;7;-1;-14.29
Nicaragua;6;6;0;0.0
Slowenien;6;2;4;200.0
Burkina Faso;5;4;1;25.0
Island;5;2;3;150.0
Malawi;5;5;0;0.0
Oman;5;5;0;0.0
Saudi-Arabien;5;11;-6;-54.55
Senegal;5;5;0;0.0
Bahrain;4;8;-4;-50.0
Burundi;4;4;0;0.0
Guinea;4;6;-2;-33.33
Vereinigte Arabische Emirate;4;4;0;0.0
Angola;3;13;-10;-76.92
Britisches Territorium im Indischen Ozean;3;3;0;0.0
Haiti;3;0;3;100.0
Malta;3;2;1;50.0
Moldau (Republik Moldau);3;8;-5;-62.5
Montenegro;3;5;-2;-40.0
Paraguay;3;5;-2;-40.0
Antigua und Barbuda;2;0;2;100.0
Barbados;2;1;1;100.0
Dominikanische Republik;2;2;0;0.0
Kap Verde;2;0;2;100.0
Kuwait;2;2;0;0.0
Lesotho;2;0;2;100.0
Liberia;2;4;-2;-50.0
Liechtenstein;2;0;2;100.0
Panama;2;3;-1;-33.33
Amerikanisch-Ozeanien;1;1;0;0.0
Anguilla;1;0;1;100.0
Bahamas;1;2;-1;-50.0
Belize;1;2;-1;-50.0
Bhutan;1;1;0;0.0
Botsuana;1;3;-2;-66.67
Britische Jungferninseln;1;0;1;100.0
Brunei Darussalam;1;0;1;100.0
Dominica;1;1;0;0.0
Gibraltar;1;0;1;100.0
Grenada;1;0;1;100.0
Guernsey;1;0;1;100.0
Guyana;1;0;1;100.0
Kuba;1;1;0;0.0
Mali;1;3;-2;-66.67
Niger;1;0;1;100.0
Puerto Rico;1;1;0;0.0
Seychellen;1;0;1;100.0
Svalbard und Jan Mayen;1;1;0;0.0
Timor-Leste;1;0;1;100.0
Trinidad und Tobago;1;5;-4;-80.0
Uruguay;1;2;-1;-50.0
Zentralafrikanische Republik;1;0;1;100.0
